score_key,direction,threshold,f1,precision,recall,accuracy,specificity,balanced_accuracy,tp,fp,tn,fn,n
c2_low_turn_count,high_is_c3,3.0,0.6451612903225806,0.4918032786885246,0.9375,0.5217391304347826,0.16216216216216217,0.5498310810810811,30,31,6,2,69
high_score_rate_0_5,low_is_c3,-0.7857142857142857,0.6451612903225806,0.4918032786885246,0.9375,0.5217391304347826,0.16216216216216217,0.5498310810810811,30,31,6,2,69
low_score_rate_0_5,high_is_c3,0.21428571428571427,0.6451612903225806,0.4918032786885246,0.9375,0.5217391304347826,0.16216216216216217,0.5498310810810811,30,31,6,2,69
consistency_score_file_q10,low_is_c3,-0.28212113687609724,0.6444444444444445,0.5,0.90625,0.5362318840579711,0.21621621621621623,0.5612331081081081,29,29,8,3,69
high_score_rate_0_3,low_is_c3,-0.8571428571428571,0.6444444444444445,0.5,0.90625,0.5362318840579711,0.21621621621621623,0.5612331081081081,29,29,8,3,69
low_score_rate_0_3,high_is_c3,0.14285714285714285,0.6444444444444445,0.5,0.90625,0.5362318840579711,0.21621621621621623,0.5612331081081081,29,29,8,3,69
low_tail_penalty_score,low_is_c3,-0.6010852337660852,0.6444444444444445,0.5,0.90625,0.5362318840579711,0.21621621621621623,0.5612331081081081,29,29,8,3,69
high_low_gap_0_8_0_3,low_is_c3,-0.2857142857142857,0.6436781609195402,0.509090909090909,0.875,0.5507246376811594,0.2702702702702703,0.5726351351351351,28,27,10,4,69
high_low_half_penalty_0_8_0_5,low_is_c3,-0.2857142857142857,0.6428571428571429,0.5192307692307693,0.84375,0.5652173913043478,0.32432432432432434,0.5840371621621622,27,25,12,5,69
failure_sensitive_score,low_is_c3,-0.4685102336178029,0.6419753086419753,0.5306122448979592,0.8125,0.5797101449275363,0.3783783783783784,0.5954391891891893,26,23,14,6,69
high_low_gap_0_7_0_4,low_is_c3,-0.3571428571428571,0.6419753086419753,0.5306122448979592,0.8125,0.5797101449275363,0.3783783783783784,0.5954391891891893,26,23,14,6,69
high_low_gap_0_9_0_3,low_is_c3,-0.14285714285714288,0.6419753086419753,0.5306122448979592,0.8125,0.5797101449275363,0.3783783783783784,0.5954391891891893,26,23,14,6,69
high_low_half_penalty_0_9_0_4,low_is_c3,-0.2142857142857143,0.6419753086419753,0.5306122448979592,0.8125,0.5797101449275363,0.3783783783783784,0.5954391891891893,26,23,14,6,69
c2_programmer_low05_rate,high_is_c3,0.2857142857142857,0.6399999999999999,0.5581395348837209,0.75,0.6086956521739131,0.4864864864864865,0.6182432432432432,24,19,18,8,69
c2_low_turn_count,low_is_c3,-10.0,0.6399999999999999,0.47058823529411764,1.0,0.4782608695652174,0.02702702702702703,0.5135135135135135,32,36,1,0,69
c2_max_low_run,high_is_c3,1.0,0.6399999999999999,0.47058823529411764,1.0,0.4782608695652174,0.02702702702702703,0.5135135135135135,32,36,1,0,69
consistency_score_file_max,high_is_c3,0.9998414634104806,0.6399999999999999,0.47058823529411764,1.0,0.4782608695652174,0.02702702702702703,0.5135135135135135,32,36,1,0,69
consistency_score_file_median,high_is_c3,0.42575686942320834,0.6399999999999999,0.47058823529411764,1.0,0.4782608695652174,0.02702702702702703,0.5135135135135135,32,36,1,0,69
consistency_score_file_min,low_is_c3,-0.43553251716152935,0.6399999999999999,0.47058823529411764,1.0,0.4782608695652174,0.02702702702702703,0.5135135135135135,32,36,1,0,69
consistency_score_file_q10,high_is_c3,0.0016914988655521873,0.6399999999999999,0.47058823529411764,1.0,0.4782608695652174,0.02702702702702703,0.5135135135135135,32,36,1,0,69
consistency_score_file_q75,low_is_c3,-0.9999743525712029,0.6399999999999999,0.47058823529411764,1.0,0.4782608695652174,0.02702702702702703,0.5135135135135135,32,36,1,0,69
high_density_score_0_8,high_is_c3,0.06676286648415442,0.6399999999999999,0.47058823529411764,1.0,0.4782608695652174,0.02702702702702703,0.5135135135135135,32,36,1,0,69
high_low_gap_0_7_0_2,low_is_c3,-0.7692307692307693,0.6399999999999999,0.47058823529411764,1.0,0.4782608695652174,0.02702702702702703,0.5135135135135135,32,36,1,0,69
high_low_gap_0_7_0_3,high_is_c3,-0.15384615384615385,0.6399999999999999,0.47058823529411764,1.0,0.4782608695652174,0.02702702702702703,0.5135135135135135,32,36,1,0,69
high_low_gap_0_7_0_3,low_is_c3,-0.7692307692307693,0.6399999999999999,0.47058823529411764,1.0,0.4782608695652174,0.02702702702702703,0.5135135135135135,32,36,1,0,69
